      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-01-12 21:57:05,   5122,       2.26,           2,       0.00,     2266.37,        0.88,       10.49,    5125,       0
2017-01-12 21:57:08,   6827,       2.98,           3,       0.00,     2290.94,        1.01,       10.70,    6827,       0
2017-01-12 21:57:11,   6829,       2.98,           3,       0.00,     2291.61,        1.01,       10.79,    6830,       0
2017-01-12 21:57:14,   6850,       2.98,           4,       0.00,     2298.66,        1.34,       10.59,    6856,       0
2017-01-12 21:57:17,   6886,       2.98,           4,       0.00,     2310.74,        1.34,       10.67,    6890,       0
2017-01-12 21:57:20,   6831,       2.98,           3,       0.00,     2292.28,        1.01,       10.78,    6835,       0
2017-01-12 21:57:23,   6848,       2.98,           3,       0.00,     2297.99,        1.01,       10.63,    6852,       0
2017-01-12 21:57:26,   6858,       2.98,           4,       0.00,     2301.34,        1.34,       10.64,    6866,       0
2017-01-12 21:57:29,   6759,       2.98,           3,       0.00,     2268.12,        1.01,       10.56,    6765,       0
2017-01-12 21:57:32,   6829,       2.98,           3,       0.00,     2291.61,        1.01,       10.51,    6832,       0
